member_casual,hour_of_day,trip_count,trip_percentage,avg_ride_length
member,17,858440,10.8,13.29
casual,17,516514,9.68,24.95
member,16,707923,8.9,13.03
member,18,687186,8.64,13.21
casual,16,458619,8.59,26.52
casual,18,453151,8.49,25.1
casual,15,408468,7.65,29.09
casual,14,377260,7.07,30.51
casual,13,362566,6.79,30.53
member,15,526236,6.62,12.93
casual,12,345456,6.47,30.09
member,8,511421,6.43,11.28
casual,19,341838,6.4,25.49
member,19,484608,6.09,13.0
member,12,443587,5.58,12.54
member,13,437085,5.5,12.7
member,14,436178,5.49,13.06
casual,11,292294,5.48,30.43
member,7,432009,5.43,11.34
member,11,385978,4.85,12.73
casual,20,247364,4.63,25.7
member,9,347772,4.37,11.64
casual,10,224908,4.21,30.02
member,20,329432,4.14,12.79
member,10,323278,4.07,12.47
casual,21,208511,3.91,25.27
casual,22,188633,3.53,25.58
casual,9,168543,3.16,25.56
member,21,248210,3.12,12.49
member,6,232335,2.92,10.94
casual,8,154884,2.9,19.53
casual,23,140403,2.63,26.63
member,22,184364,2.32,12.45
casual,7,113026,2.12,17.11
casual,0,100651,1.89,26.74
member,23,119055,1.5,12.46
casual,1,68113,1.28,29.43
casual,6,63250,1.18,17.84
member,5,78386,0.99,10.4
member,0,74047,0.93,12.26
casual,2,41530,0.78,31.88
member,1,45548,0.57,12.81
casual,5,25463,0.48,18.52
casual,3,22127,0.41,32.38
member,2,25010,0.31,12.94
casual,4,14937,0.28,32.09
member,4,18078,0.23,12.11
member,3,15056,0.19,12.98
